entity_id,state,last_changed
sensor.buro_rack_monitor_rack_temp_1,37.6875,2026-07-13T06:05:42.732Z
sensor.buro_rack_monitor_rack_temp_1,37.625,2026-07-13T06:05:57.731Z
sensor.buro_rack_monitor_rack_temp_1,37.5625,2026-07-13T06:06:57.734Z
sensor.buro_rack_monitor_rack_temp_1,37.5,2026-07-13T06:07:42.731Z
sensor.buro_rack_monitor_rack_temp_1,37.4375,2026-07-13T06:09:27.732Z
sensor.buro_rack_monitor_rack_temp_1,37.5,2026-07-13T06:10:57.733Z
sensor.buro_rack_monitor_rack_temp_1,37.4375,2026-07-13T06:12:42.733Z
sensor.buro_rack_monitor_rack_temp_1,37.5,2026-07-13T06:13:57.734Z
sensor.buro_rack_monitor_rack_temp_1,37.625,2026-07-13T06:14:12.737Z
sensor.buro_rack_monitor_rack_temp_1,37.6875,2026-07-13T06:14:27.738Z
sensor.buro_rack_monitor_rack_temp_1,37.625,2026-07-13T06:15:42.735Z
sensor.buro_rack_monitor_rack_temp_1,37.5625,2026-07-13T06:16:42.735Z
sensor.buro_rack_monitor_rack_temp_1,37.5,2026-07-13T06:17:27.735Z
sensor.buro_rack_monitor_rack_temp_1,37.5625,2026-07-13T06:17:42.741Z
sensor.buro_rack_monitor_rack_temp_1,37.5,2026-07-13T06:18:27.736Z
sensor.buro_rack_monitor_rack_temp_1,37.5625,2026-07-13T06:21:27.738Z
sensor.buro_rack_monitor_rack_temp_1,37.5,2026-07-13T06:22:12.737Z
sensor.buro_rack_monitor_rack_temp_1,37.5625,2026-07-13T06:22:27.737Z
sensor.buro_rack_monitor_rack_temp_1,37.5,2026-07-13T06:23:12.737Z
sensor.buro_rack_monitor_rack_temp_1,37.5625,2026-07-13T06:24:43.021Z
sensor.buro_rack_monitor_rack_temp_1,37.625,2026-07-13T06:30:57.740Z
sensor.buro_rack_monitor_rack_temp_1,37.5625,2026-07-13T06:31:12.743Z
sensor.buro_rack_monitor_rack_temp_1,37.625,2026-07-13T06:31:42.741Z
sensor.buro_rack_monitor_rack_temp_1,37.5625,2026-07-13T06:32:27.972Z
sensor.buro_rack_monitor_rack_temp_1,37.625,2026-07-13T06:32:42.740Z
sensor.buro_rack_monitor_rack_temp_1,37.5625,2026-07-13T06:32:58.283Z
sensor.buro_rack_monitor_rack_temp_1,37.625,2026-07-13T06:33:57.812Z
sensor.buro_rack_monitor_rack_temp_1,37.5625,2026-07-13T06:34:12.743Z
sensor.buro_rack_monitor_rack_temp_1,37.625,2026-07-13T06:34:42.741Z
sensor.buro_rack_monitor_rack_temp_1,37.75,2026-07-13T06:35:57.757Z
sensor.buro_rack_monitor_rack_temp_1,38.3125,2026-07-13T06:36:12.741Z
sensor.buro_rack_monitor_rack_temp_1,38.625,2026-07-13T06:36:27.743Z
sensor.buro_rack_monitor_rack_temp_1,38.8125,2026-07-13T06:36:42.743Z
sensor.buro_rack_monitor_rack_temp_1,38.75,2026-07-13T06:37:12.741Z
sensor.buro_rack_monitor_rack_temp_1,38.6875,2026-07-13T06:37:27.742Z
sensor.buro_rack_monitor_rack_temp_1,38.5625,2026-07-13T06:37:42.740Z
sensor.buro_rack_monitor_rack_temp_1,38.4375,2026-07-13T06:37:57.741Z
sensor.buro_rack_monitor_rack_temp_1,38.375,2026-07-13T06:38:12.740Z
sensor.buro_rack_monitor_rack_temp_1,38.25,2026-07-13T06:38:27.758Z
sensor.buro_rack_monitor_rack_temp_1,38.1875,2026-07-13T06:38:42.740Z
